Recall Number,Recall Event ID,Device Type,Product Code,Regulation Description,Medical Specialty,Review Panel,Submission Type,Trade Name/Product,Main Name,Recall Class,Date Posted,Year Posted,Recalling Manufacturer,Reason for Recall,FDA Determined Cause,Action,Consumer Instructions,Clean Quantity,Quantity in Commerce,Distribution,Recall Status,Termination Date,Time to Terminate,Merged Quantities
Z-0960-2017,76029,No,HWC,Smooth or threaded metallic bone fixation fastener.,Orthopedic,Orthopedic,510(k),"Tiger Screw Sterilization Tray Base Assembly Model 210-00-001 Revision N, O",N/A,N/A,"December 08, 2016", 2016,Trilliant Surgical Ltd.,"Four lots of Tiger Screw Sterilization Tray Base Assemblies were released to the field with a printing error where k-wire description markings indicate diameters of 0.45 and 0.35 instead of 0.045"" and 0.035"", respectively.",Under Investigation by firm,"Trilliant Surgical Ltd. sent an Urgent Medical Device Recall letter dated December 8, 2016, to all affected consignees.   The letter instructed the consignees to 1) identify any/all affected product; 2) document any/all identified product via a provided response form and return to Trilliant Surgical; 3) exchange product upon receipt of replacements; and 4) return any/all affected product as originally identified and reported on the return response form.  Customers with questions were instructed to call 800-495-2919.",N/A,50,50 units,Nationwide Distribution,Terminated,"May 17, 2017",160,50
Z-0952-2017,76104,No,HRS,Single/multiple component metallic bone fixation appliances and accessories.,Orthopedic,Orthopedic,510(k),"SCREW 02.7-12MM LOCKING, REF W27 ST112:  a) DRP, b) NEO, In2Bones, 28 chemin du petit bois, 69130 Ecully - France",N/A,N/A,"December 19, 2016", 2016,"In2Bones, SAS",Dimensional non-conformity of the thread on the screw head.,Component design/selection,"IN2BONES en a Field Safety Corrective Action letter dated December 15, 2016, to the sole US distributor.  The letter identified the product, the problem, and the action to be taken by the customer.   We therefore recommend you to follow the instructions here below:1. Identify all the devices with the batches subject of this recall that might still be in your inventoryand quarantine them2. Inform and distribute this Recall Notification to all relevant persons within your organization3. To distributors only: Identify all the devices with the batches subject of this recall that weredelivered to your customers, and if relevant, instruct them to also follow these instructions(identification and quarantine)4. Fill in and return the fax back form enclosed. With this form, you will certify that you havereceived this Recall Notification and intend to comply with the recommendations listed. This faxback form will enable In2Bones to conduct effectiveness checks.Customers with questions were instructed to contact the Quality and Regulatory Affairs team at +33 4 72 29 26 26 / +33 7 61 88 44 30 or by email:qualte@in2bones.com.For questions regarding this recall call 844-602-6637.",N/A,19,19 units,Worldwide Distribution - US TN only and Internationally to France and Switzerland,"Open, Classified",N/A,N/A,85
Z-0955-2017,75782,No,KLE,Resin tooth bonding agent.,Dental,Dental,510(k),"VOCO Futurabond M+ adhesive, RF 1515, Manufactured by VOCO GmbH, Futurabond M+ is a dental adhesive for use with methacrylate-based restorative, core build-up or luting materials. It can be applied with phosphoric acid etching (selective enamel etching or total-etch) of the dental hard tissue as well as without (self-etch). A1] Adhesive for direct restorations of all classes of cavities using light-curing composite /compomer / Ormocer materials with a methacrylate base. [A2] Adhesive for core build-ups made of light-curing composite materials. [A3] Adhesive for indirect restorations with light-curing luting composites. [B] Intraoral repair of composite, compomer or Ormocer restorations, ceramic veneers and allceramic restorations without an additional primer. [C] Treatment of hypersensitive tooth necks. [D] Protective varnish for glass ionomer cement restorations. [E1] Sealing of cavities prior to amalgam restorations. [E2] Sealing of cavities and core preparations prior to the temporary luting of indirect restorations. In combination with Futurabond M+ DCA (Dual Cure Activator): [F1] Adhesive for direct self-curing or dual-curing composite restorations of all classes of cavities and for core build-ups.",N/A,N/A,"November 03, 2016", 2016,Voco GmbH,Labeling mix-up: Futurabond M+ DCA (Dual Cure Activator) was marked labeled as Futurabond M+ Universal Adhesive.,Labeling mix-ups,"Voco Gmbh notified consignees via email on/about November 3, 2016. The consignees were informed about the incorrect labeling and requested not to use this affected lot as well as to return it. They were also requested to pass this information to their customers",N/A,50,50 units,"Nationwide Distribution to FL, IA, NH, PA, SC and TX","Open, Classified",N/A,N/A,50
Z-0956-2017,75901,No,HRY,Knee joint femorotibial metal/polymer semi-constrained cemented prosthesis.,Orthopedic,Orthopedic,510(k),"Oxford Fixed Lateral Bearing Size F Right, Part Number 154375 Lot 744260, Sterile, The product is placed into an Aluminum Oxide coated PET pouch and vacuum sealed with an Argon flush. The vacuum sealed part is then placed into a coated 1073B Tyvek/film pouch and heat sealed. This pouch acts as the sterile barrier. The pouch is then labeled and placed into a carton with an IFU. The carton is then labeled and shrink wrapped. The pouch and carton labels also contain sterilization indicator dots.",N/A,N/A,"December 06, 2016", 2016,"Zimmer Biomet, Inc.",Zimmer Biomet is initiating a removal of a single lot of Oxford Fixed Lateral Bearings due to mislabeling. Zimmer Biomet received product complaints reporting that when the package labeled as a Right was opened it actually contained a Left Bearing.,Employee error,"Zimmer Biomet sent an Urgent Medical Device Recall letter dated December 6, 2016. to all affected customers for a single lot of Oxford Fixed Lateral Bearings via e-mailed letter. Zimmer Biomet received two product complaints reporting that when the package labeled as a Right was opened it actually contained a Left Bearing.Risks: If another bearing is not available, a delay greater than 30 minutes may occur. If the product of the incorrect orientation is implanted, premature revision may be required.  Customers were instructed to review the recall notification and ensure affected team members are aware of the contents.2. Immediately locate and quarantine affected product in your inventory.3. Complete the Certification of Acknowledgement portion of the  Inventory Return Certification Forma. Return a digital copy within three (3) days via email to corporatequality.postmarket@zimmerbiomet.com.4. Immediately return all affected product from your distributorship and affected hospitals within your territory along with a completed Inventory Return Certification Form to Zimmer Biomet.Request a Return Authorization Number via email at rgarequest@zimmerbiomet.com . Be sure to specify RECALL as the RGA type.b. For each return, send a copy of Inventory Return Certifictaion Form via email to corporatequality.postmarket@zimmerbiomet.com.c. Include a hardcopy of Inventory Return Certifictaion Form to Zimmer Biomet with your shipment for immediate processing.d. Mark the outside of the returns box(es) clearly with RECALL.5. If after reviewing this notice you have further questions or concerns please call 1-877-946-2761 between 8:00 am and 5:00pm EST, Monday through Friday. Calls received outside of business hours will receive a prompt to record a voicemail and will be returned upon receipt. Alternatively, your questions may be sent by email to corporatequality.postmarket@zimmerbiomet.com.Customer ServiceZimmer Biomet, Inc.P.O. Box 708Warsaw, I",N/A,12,12 units distributed,Domestic: NoneFroeign: Netherlands &amp; SwitzerlandVA/DOD: None,Terminated,"June 01, 2017",177,12
Z-0958-2017,75983,No,NDP,Endosseous dental implant accessories.,Dental,Dental,510(K) Exempt,"Straumann  Twist Drill PRO Âż4.2mm,long,41mm,SS-Non sterile. Dental implant accessory",N/A,N/A,"November 23, 2016", 2016,"Straumann Manufacturing, Inc.",Drills cannot be inserted into handpiece due to  tolerance specification not met,Under Investigation by firm,"Straumann sent an Urgent Field Safety Notice to all affected customers via UPS on November 23, 2016 for next day delivery.  Customers were requested to check inventory for the listed article and lot numbers and return all unused, packaged parts.  Replacement drills will be sent upon receipt. Complete the Confirmation Form and fax the form to the number listed on the form.  For questions regarding this recall call 800-448-8168.",N/A,120,120 units,Nationwide Distribution,"Open, Classified",N/A,N/A,285
Z-0962-2017,75943,Yes,NIK,N/A,N/A,Cardiovascular,PMA,"Amplia MRI"" CRT -D SureScan"",",N/A,N/A,"December 09, 2016", 2016,"Medtronic Inc., Cardiac Rhythm and Heart Failure","During internal testing conducted as part of next generation product development, it was discovered that the AdaptivCRT (aCRT) feature of Amplia MRI and Claria MRI CRT -D devices may appear to be enabled when it is not active.",Software Design Change,"Consignees were hand delivered beginning on 12/9/2016 a Medtronic ""Urgent Medical Device Correction"" letter dated December 2016.  The letter was addressed to ""Dear Physician"".  The letter described the issue  and the product involved in the recall.  The letter informed consignees that a software update is being developed to address the issue and it will also address other issue not covered in this recall. The letter also included  Appendix A which listed Patient Management Recommendations (Until the software update has been approved and the device models listed in Table A receive the update, follow the programming recommendations found in Appendix A. These recommendations also apply to any new device implants).Additionally, two other ""Urgent Medical Device Correction""  letters were hand delivered to the consignees,  ""Principal Investigator Contact Record""  and a supplement to the advisory notification.For questions contact your local Medtronic Representative or Medtronic Technical Services at 800-723-4636.",N/A,21111,"21,111 ( 13,198 US; 7,913 OUS).","US:  All states in USA including DC &amp; PR. OUS: Australia, Finland, Japan, Saudi Arabia, Austria, France, Korea,Singapore,Bangladesh, Germany,Luxembourg, South Africa, Belgium,Greece, Malaysia, Spain, Brunei Darussalam, Guadeloupe, Netherlands, Sweden, Cayman Islands, Hong Kong,New Zealand, Switzerland, Chile, India, Norway, Thailand, Cyprus, Iran, Poland, Turkey, Denmark,  Ireland, Portugal, United Arab Emirates,Dominican Republic, Italy, Reunion,United Kingdom.","Open, Classified",N/A,N/A,21111
Z-0963-2017,75941,No,NLH,Electrode recording catheter or electrode recording probe.,Cardiovascular,Cardiovascular,510(k),Reprocessed Ablation Catheter Cable,N/A,N/A,"December 06, 2016", 2016,Stryker Sustainability Solutions,A breach in the sterile packaging may have occurred resulting in potentially non-sterile product.,Under Investigation by firm,"Customer notification letters were sent 12/06/16. Customers were asked to use the criteria of Item Number and Expiration Date to determine if any affected product remains in inventory.  Use of the products from the affected item number and expiration date should be discontinued.Customers are instructed to follow the web link below to complete the Recall Effectiveness Check Form and indicate if any devices with the affected item number and expiration date listed above remain in inventory.  ONLINE form must be completed even if no affected product is found.Use Stryker Sustainability Solutions Ship To Account Number as completethe form. If do not know your Ship To Account Number, contact local salesrepresentative or call Stryker Sustainability Solutions Customer Care at 1-888-763-8803 to obtain this number.If the form indicates that any affected devices remain in inventory, a prepaid shipping label will be issued for the return of the product. Credit will be issued to facility for all affected devices in scope of this recall that are returned.Address any questions regarding the recall to Novasyte by calling (760) 279-3126 oremailing sss151@novasyte.com.Adverse reactions or quality problems experienced with the use of this product may be reported to:- Stryker Sustainability Solutions Complaint Hotline: +1-888-763-8803 http://www.stryker.com/productexperience/- The FDAs MedWatch Adverse Event Reporting program either online, byregular mail, or by fax.",N/A,N/A,N/A,"U.S. distribution to the following: MI, TX, TN, IN, AL, FL, PA, AK, WI, MT, SC, CO, CA, NH, NC, NJ, DE, AZ, MN, MS, GA, DC, IA, NY, NM, KS, OH, OK, SD, OR, NV, VA, MD, WA, CTForeign distribution to the following: CA.",Terminated,"June 08, 2017",184,N/A
Z-0978-2017,75049,No,MSS,Intraocular lens guide.,Ophthalmic,Ophthalmic,510(k),"Alcon Monarch III (1) ""C"" Cartridge",N/A,N/A,"September 05, 2016", 2016,"Alcon Research, Ltd.",The intraocular lens could become lodged within the cartridge,Device Design,"Alcon sent an Urgent Field Safety Action letter dated August 2016 to all affected consignees who received the affected product.  Customers were instructed to check their inventory and segregate any of the affected cartridges.  Customers were also asked to complete and return the Product Recall Response Form.  , requesting the return of any units in their inventory.  If customers had transferred product to other organizations, they were asked to provide them with a copy of the notice.  Customers with questions were instructed to contact Alcon.For questions regarding this recall call 817-551-3058.",N/A,1130,"1,130 units",Distributed to Mexico only,"Open, Classified",N/A,N/A,1130
Z-0972-2017,76016,No,OWB,Image-intensified fluoroscopic x-ray system.,Radiology,Radiology,510(k),"Artis Q/Q.zen,  Angiographic x-ray system",N/A,N/A,"December 08, 2016", 2016,"Siemens Medical Solutions USA, Inc","Siemens initiated a corrective action to address two possible, mutually independent causes of a system defect related to the following:- In Artis Systems with A100 Plus or A100G generators, an attempt to resume operation following detection of a fault can result in the failure of a module in the high-voltage generator.- For biplane systems delivered with software version VD11B since April of this year, software problems in conjunction with graphics card may, in rare cases, result in the loss of image display in the examination room.",Software in the Use Environment,"Siemens mailed a Customer Safety Advisory Notice (CSAN) dated December 8, 2016, to all affected customers with Customer Safety Advisory Notice AX002/16/S.  Additionally, Siemens has initiated a software update via Update Instruction AX001/16/S. Their Service Organization will contact each customer to schedule an appointment to perform the corrective action; however, customers can make contact for an earlier appointment.  Customers with questions should call 1-888-826-9702.For questions regarding this recall call 610-448-6461.",N/A,1500,"1,500 distributed Worldwide",Nationwide Distribution,"Open, Classified",N/A,N/A,1500
Z-0965-2017,75290,No,FEB,Endoscope and accessories.,Gastroenterology/Urology,Gastroenterology/Urology,510(k),"EVOTECH Endoscope Cleaner and Reprocessor System 208V, Product Code: 50004",N/A,N/A,"September 27, 2016", 2016,Advanced Sterilization Products,Advanced Sterilization Products (ASP) is recalling the EVOTECH Endoscope Cleaner and Reprocessor System because the hose may come loose and cause a leak.,Nonconforming Material/Component,ASP has sent out Service Representatives to all impacted customers to inspect the hoses for the EVOTECH Endoscope Cleaner and Reprocessor System and will replace the hose if required.The firm issued a Technical Bulletin dated 8/22/2016. Customers were instructed to complete online training prior to performing the actions described in the bulletin and follow instructions.For orders and questions call 888-783-7723 or email: RA-ASPUS-ServPartOrd@aspus.jnj.com.,N/A,107,107 units,US Nationwide Distribution.,Terminated,"April 17, 2017",202,107
Z-0979-2017,75837,No,CEW,Parathyroid hormone test system.,Clinical Chemistry,Clinical Chemistry,510(k),SIEMENS IMMULITE 2000/2000 Xpi Systems Intact PTH (Parathyroid Hormone),N/A,N/A,"November 22, 2016", 2016,"Siemens Healthcare Diagnostics, Inc.",Siemens is conducting this recall for the IMMULITEÂż 2000/IMMULITEÂż 2000 XPi Intact PTH (Intact Parathyroid Hormone) (iPTH) assay kit lot 320. Siemens has confirmed that IMMULITEÂż 2000/IMMULITEÂż 2000 XPi Intact PTH kit lot 320 can exhibit an average negative bias of up to -39% at iPTH concentrations &lt;20 pg/mL with serum and EDTA patient samples vs. a reference kit lot.,Under Investigation by firm,"The firm, Siemens, sent an ""Urgent Medical Device Recall"" letter IMC16-27.A.US (dated 11/22/2016) to its customers on 11/22/2016  via FedEx. Customers Outside the US were sent an ""Urgent Field Safety Notice"" dated 11/2016. The letter/notice describes the product, problem and actions to be taken.  Customers were instructed to discontinue use of and discard the affected kit; review your inventory of these products to determine your laboratorys replacement needs; Complete and return the Field Correction Effectiveness Check Form attached to this letter within 30 days by fax to the Customer Care Center at (312) 275-7795; and retain this letter with your laboratory records, and forward this letter to those who may have received this product.If you have any questions, please contact your Siemens Customer Care Center or your local Siemens technical support representative.",N/A,2728,2728 kits (US: 565 kits; OUS: 2163 kits),"Worldwide Distribution: US (Nationwide) and countries of: Canada, China, Chile, Mexico, Australia, Austria, Bangladesh, Belgium, Bosnia Herzeg, Brazil, Bulgaria, Peru, Colombia, Ecuador, Bolivia, Costa Rica, Honduras, Croatia, Czech Republic, Denmark, Egypt, Estonia, France, Algeria, Greece, Guatemala, Hungary, India, Ireland, Israel, Italy, Japan, Kazakhstan, Latvia, Lebanon, Netherlands, Norway, Pakistan, Panama, Paraguay, Poland, Portugal, Republic Korea, Romania, Russian Fed., Serbia, Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, Taiwan, Tunisia, Turkey, Jordan, U.A.E., United Kingdom and Uruguay.","Open, Classified",N/A,N/A,2728
Z-0975-2017,76033,No,OXO,Image-intensified fluoroscopic x-ray system.,Radiology,Radiology,510(k),"The OEC 9900 Elite mobile fluoroscopy system is designed to provide fluoroscopic and spot-film images of the patient during diagnostic surgical and interventional procedure. Examples of clinical application may include cholangiography, endoscopy, urologic, orthopedic, neurologic, vascular, cardiac, critical care and emergency room procedure. The system may be used for other imaging applications at the physician's discretionOEC 9900 Elite. MDL Numbers: D148942, D155043",N/A,N/A,"December 19, 2016", 2016,"GE OEC Medical Systems, Inc","GE Healthcare Surgery announces a voluntary field action for the OEC MiniView 6800, OEC 9900 Elite, and OEC 9800 because the workstation power cable assembly can result in intermittent power cord failures.",Use error,"GE Healthcare sent an Urgent Medical Device Correction letter dated December 19, 2016, to all affected consignees.   GE informed consignees that GE will correct all affected products. If consignnes have any questions or concerns regarding this notification, please contact GE Healthcare Service at 1-800-437-1171 or their local Service Representative.For questions regarding this recall call 801-536-4952.",N/A,N/A,N/A,"Worldwide Distribution - US including U.S. States: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS,NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PUERTO RICO, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY and Internationally to Canada, Mexico, and Costa Rica","Open, Classified",N/A,N/A,N/A
Z-0967-2017,75952,No,KNX,Urine collector and accessories.,Gastroenterology/Urology,Gastroenterology/Urology,510(K) Exempt,"SURESTEP Tray, BARDEX I.C. COMPLETE CARE, Urine Meter, Temperature STATLOCK Stabilization Device",N/A,N/A,"July 11, 2016", 2016,"C.R. Bard, Inc.",The product contained a latex catheter instead of a silicone catheter.,Labeling mix-ups,"Bard Medical sent an Urgent : Medical Device Product Recall Letter dated July 11, 2016, to all affected customers. The letter requested that they check inventory and quarantine product, and if the product had been further distributed, they need to conduct a sub-recall.  The letter included a reply form to be returned. For further questions, please call (770) 784-6220.",N/A,2690,2690 units,"US Distribution to the states of : CA, CT, FL, GA, IL, IN, KS, KY, MD, MA, MI, NE, NV, NJ, NM, NY, OR, SC, TN, TX, UT, VA, WA","Open, Classified",N/A,N/A,2690
Z-0966-2017,75857,No,OVE,Intervertebral body fusion device.,Orthopedic,Orthopedic,510(k),Ceres-C Standalone Cervical Interbody,N/A,N/A,"November 22, 2016", 2016,"Amendia, Inc",Absent tantalum market pin.,Process control,"The firm, Amendia, contacted the consignee and issued a Return Material Authorization for the affected product on 8/18/2016.Please contact Regulatory and Quality Consultant for Amendia at 404-610-7215 or by email to bbrosseau@securebme.com with any questions or concerns regarding this recall notification.",N/A,6,6 devices,US Distribution to GA only.,"Open, Classified",N/A,N/A,6
Z-0961-2017,75838,No,DZE,Endosseous dental implant.,Dental,Dental,510(k),GoDirect Screw-Retaining Top,N/A,N/A,"November 28, 2016", 2016,"Implant Direct Sybron Manufacturing, LLC","Consignees received product 6060-62, Replant Overdenture Abutment with the label for 4500-61 GoDirect Screw-Retaining Top.",Labeling mix-ups,On 11/28/16 customers were called and instructed to return the product.,N/A,14,14,U.S. distribution to the following; WA.Foreign distribution to the following; Netherlands.,"Open, Classified",N/A,N/A,14
